83205: ARDR,"Perf Hst 1901-Presnt"
83206: ARDR,"Perform Hist (Anc-Early Mdrn)"
83207: ARDR,"Performance II"
83208: ARDR,"Performance Industry Structure"
83209: ARDR,"Senior Project"
83210: ARDR,"Senior Seminar"
83211: ARDR,"Spanish Drama the Golden Age"
83212: ARDR,"Spanish Theater"
83213: ARDR,"Text/Performance/Adaptation"
83214: ARDR,"The Early Shakespeare"
83215: ARDR,"The Later Shakespeare"
83216: ARDR,"Theater Production"
83217: ARDR,"Theater Production Lab"
83218: ARDR,"Theater Studies"
83219: ARDR,"Theater and Education"
83220: ARDR,"Theater and Therapy"
83221: ARDR,"Theater for Social Action"
83222: ARDR,"Theatre Learning Lab"
83223: ARDR,"Theatrical Imagination"
83224: ARDR,"Topics on Production"
83225: ARDR,"Tragic Theatre"
83226: ARDR,"Voice&Dict Perf"
83227: ARDR,"Women in Performance"
83228: ARDR,"World Drama since 1800"
83229: ARDR,"World Drama to 1800"
83230: ARPE,"13  Ooo"
83231: ARPE,"Instrumental Ensemb"
83232: ART,"11  Ooo"
83233: ART,"Advanced Ceramics"
83234: ART,"Advanced Drawing"
83235: ART,"Advanced Painting"
83236: ART,"Advanced Printmaking"
83237: ART,"Advanced Sculpture"
83238: ART,"Advanced Studio Art"
83239: ART,"American Art Since 1945"
83240: ART,"Anatomy and Portraiture"
83241: ART,"Art 100-Level Elective"
83242: ART,"Art 200-Level Elective"
83243: ART,"Art 300-Level Elective"
83244: ART,"Art 400-Level Elective"
83245: ART,"Art Grad Credit"
83246: ART,"Art Graduate Credit"
83247: ART,"Art Ind Study"
83248: ART,"Art Indep Study"
83249: ART,"Art Independent Study"
83250: ART,"Art Independnt Study"
83251: ART,"Art Internship"
83252: ART,"Art and Society in America"
83253: ART,"Art in Rome"
83254: ART,"Art of the Ancient World"
83255: ART,"Aspects of Renaissance Art"
83256: ART,"Baroque Art"
83257: ART,"Baroque Art and Architecture"
83258: ART,"Ceramics"
83259: ART,"Cont Art: Idea & Practc"
83260: ART,"Cont Iss Photogrphy"
83261: ART,"Contemp Painting I"
83262: ART,"Contemporary Art Theory I"
