"cuny_subject","short_title"
"DATA","Fortran Programming"
"DATA","Intro Computer Progr"
"DATA","Pl/I Programming"
"DATA","Pl/I Programming Lab"
"DESK","Academic Improvement Seminar"
"DESK","Critique Curriculum"
"DESK","Math Skills I"
"DESK","Math Skills II"
"DESK","Math Skills Lab I"
"DESK","Math Skills Lab II"
"DESK","Reading I"
"DESK","Reading II"
"DESK","Reading Lab"
"DESK","Self Expr Art & Dram"
"DESK","Self-Exp Thru Act &"
"DESK","Sp/Exp Art & Drama I"
"DESK","Sp/Inter Preparation"
"DESK","Sp/Lab Seminar"
"DESK","Sp/Pre Fresh Inter P"
"DESK","Sp/Pre Freshmen Coun"
"DESK","Sp/Pre Freshmen Lab"
"DESK","Sp/Reading  Recitati"
"DESK","Sp/Speed Reading I"
"DESK","Sp/Writing  Recitati"
"DESK","Speed Reading"
"DESK","Test-Tkg Skills/Stra"
"DESK","Writing I"
"DESK","Writing II"
"DESK","Writing Lab"
"DESK","Writing Lang Lab"
"ECON","Advertising Design"
"ECON","Benefit Cost Analysis"
"ECON","Bus & Econ Stat I"
"ECON","Bus & Econ Stats II"
"ECON","Eco Of Racism"
"ECON","Econ Analysis of Sports Mgmnt"
"ECON","Econ Of Racism"
"ECON","Econometrics and Forecasting"
"ECON","Economics Internship"
"ECON","Educ As A Social Inv"
"ECON","Fiscal Policy"
"ECON","General Economy"
"ECON","Global Trade & Political Econ"
"ECON","Independent Study"
"ECON","Inter Macro Analysis"
"ECON","Interm Micro Econ An"
"ECON","International Econom"
"ECON","International Economics"
"ECON","International Finance"
"ECON","Intro To Political E"
"ECON","Introduction to Macroeconomics"
"ECON","Introduction to Microeconomics"
"ECON","Labor Economics"
"ECON","Managerial Economics"
"ECON","Mathematical Economics"
"ECON","Monetary Theory&Poli"
"ECON","Money and Banking"
"ECON","Problems African Dev"
"ECON","Public Finance"
"ECON","SURVEY OF ECONOMICS"
"ECON","Spec Top(Dev Finance & Pol)"
"ECON","Theory Of Economic D"
"ECON","Theory Of Firm & Mkt"
"ECON","Theory of Economic Development"
"ECON","Urban Economics"
"ECON","War On Drugs"
"EDHE","Alcohol Tobacco & Dr"
"EDHE","Personal Health"
"EDOC","Career Plan Seminar"
"EDOC","Confront Wrld Work"
"EDOC","Exper Learn Lab"
"EDOC","Exper Learn Lab P/T"
"EDOC","Perspective Careers"
"EDOC","Re Apprais.,Val. Fin"
"EDOC","Re Mgmt Low Income"
"EDOC","Real Estate Evaluat"
"EDOC","Real Estate Management"
"EDOC","Real Estate Principa"
"EDOC","Secretarial Preplace"
"EDPH","Aerobic Dance"
"EDPH","African Dance"
"EDPH","African Dance II"
"EDPH","Bowling"
"EDPH","Cult Social Appro Hl"
"EDPH","Dev. Activity"
"EDPH","Fitness For Living"
"EDPH","Fund. Of Physical Ac"
"EDPH","Fundamentals Of Team"
"EDPH","Hand To Hand Defense"
"EDPH","Health&Phy Educ"
"EDPH","Hlth Serv Admin I"
"EDPH","Human Sexuality"
"EDPH","Intro Health Care Or"
"EDPH","Intro Hlth Care Mngm"
"EDPH","Intro To Phys Ed"
"EDPH","Intro To Yoga"
"EDPH","Karate For Beg"
"EDPH","Modern Dance"
"EDPH","Personal Health"
"EDPH","Physical Ed For Chil"
"EDPH","Power Volleyball"
